SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
1394,3219,1,Star Wars,Mini Building Set,2002,Mini TIE Fighter,,12,,,,,http://images.brickset.com/sets/images/3219-1.jpg,No,No,0
23671,TRUTIE,1,Star Wars,Promotional,2014,TIE Fighter,,12,,,,,http://images.brickset.com/sets/images/TRUTIE-1.jpg,No,No,0
7135,4547551,1,Star Wars,Minifig Pack,2009,Chrome  Darth Vader,1,7,,,,,http://images.brickset.com/sets/images/4547551-1.jpg,No,No,0
9365,5000062,1,Star Wars,Minifig Pack,2012,Darth Maul,1,7,,0,,,http://images.brickset.com/sets/images/5000062-1.jpg,No,No,0
23567,5002123,1,Star Wars,The Old Republic,2014,Darth Revan,1,7,,,,,http://images.brickset.com/sets/images/5002123-1.jpg,No,No,0
25598,30605,1,Star Wars,The Force Awakens,2016,Finn (FN-2187),,5,,,,,http://images.brickset.com/sets/images/30605-1.jpg,No,No,0
7921,2853590,1,Star Wars,Minifig Pack,2010,Chrome Stormtrooper,1,5,,2.99,,,http://images.brickset.com/sets/images/2853590-1.jpg,No,No,0
8069,2853835,1,Star Wars,Minifig Pack,2010,White Boba Fett Figure,1,5,,,,,http://images.brickset.com/sets/images/2853835-1.jpg,No,No,0
8741,2856197,1,Star Wars,Minifig Pack,2011,Shadow ARF Trooper,1,5,0,0,,,http://images.brickset.com/sets/images/2856197-1.jpg,No,No,0
22665,5001621,1,Star Wars,Minifig Pack,2013,Han Solo (Hoth),1,5,,,,,http://images.brickset.com/sets/images/5001621-1.jpg,No,No,0
22832,5001709,1,Star Wars,Episode II,2013,Clone Trooper Lieutenant,1,5,,,,,http://images.brickset.com/sets/images/5001709-1.jpg,No,No,0
24320,5002938,1,Star Wars,Rebels,2015,Stormtrooper Sergeant,1,5,,,,,http://images.brickset.com/sets/images/5002938-1.jpg,No,No,0
8437,BOBAFETT1,1,Star Wars,Miscellaneous,2010,White Boba Fett minifig and Star Wars book,,5,,,,,http://images.brickset.com/sets/images/BOBAFETT1-1.jpg,No,No,0
8656,COMCON004,1,Star Wars,Miscellaneous,2009,Collectable Display Set 1,3,5,,49.99,,,http://images.brickset.com/sets/images/COMCON004-1.jpg,No,No,0
8659,COMCON008,1,Star Wars,Miscellaneous,2009,Collectable Display Set 3,3,5,,49.99,,,http://images.brickset.com/sets/images/COMCON008-1.jpg,No,No,0
8660,COMCON009,1,Star Wars,Miscellaneous,2009,Collectable Display Set 6,3,5,,49.99,,,http://images.brickset.com/sets/images/COMCON009-1.jpg,No,No,0
24166,5002947,1,Star Wars,Episode IV,2015,Admiral Yularen,1,4,,,,,http://images.brickset.com/sets/images/5002947-1.jpg,No,No,0
25870,5004406,1,Star Wars,The Force Awakens,2016,First Order General,,4,,,,,,No,No,0
8658,COMCON007,1,Star Wars,Miscellaneous,2009,Collectable Display Set 5,3,4,,49.99,,,http://images.brickset.com/sets/images/COMCON007-1.jpg,No,No,0
9595,5000063,1,Star Wars,Minifig Pack,2012,TC-14,1,3,0,0,,,http://images.brickset.com/sets/images/5000063-1.jpg,No,No,0
23396,5002122,1,Star Wars,Minifig Pack,2014,TC-4,1,3,4.99,,,,http://images.brickset.com/sets/images/5002122-1.jpg,No,No,0
24814,5002948,1,Star Wars,The Force Awakens,2015,C-3PO,1,3,,3.99,,,http://images.brickset.com/sets/images/5002948-1.jpg,No,No,0
9349,COMCON011,1,Star Wars,Miscellaneous,2009,Holo-Brick Archives (SDCC 2009 exclusive),,3,,,,,,No,No,0
22978,YODA,1,Star Wars,Promotional,2013,"Yoda minifig, NY I Heart Torso",1,3,,,,,http://images.brickset.com/sets/images/YODA-1.jpg,No,No,0
8655,COMCON005,1,Star Wars,Miscellaneous,2009,Collectable Display Set 2,3,2,,49.99,,,http://images.brickset.com/sets/images/COMCON005-1.jpg,No,No,0
9327,SW117PROMO,1,Star Wars,Promotional,2005,Darth Vader (Nürnberg Toy Fair 2005 Exclusive Figure),1,2,,,,,http://images.brickset.com/sets/images/SW117PROMO-1.jpg,No,No,0
8654,4521221,1,Star Wars,Minifig Pack,2007,Gold chrome plated C-3PO,,1,0,0,,,http://images.brickset.com/sets/images/4521221-1.jpg,No,No,0
25676,30UNIQUE15,1,Star Wars,The Force Awakens,2015,Force Friday Commemorative Brick,,1,,,,,http://images.brickset.com/sets/images/30UNIQUE15-1.jpg,No,No,0
25850,30279,1,Star Wars,The Force Awakens,2016,Kylo Ren's Command Shuttle,,,,,,,,No,No,0
24627,75098,1,Star Wars,Ultimate Collector Series,2016,Assault on Hoth,,,,249.99,,,,No,No,0
25607,75119,1,Star Wars,,2016,{?},,,,,,,,No,No,0
25608,75120,1,Star Wars,,2016,{?},,,,,,,,No,No,0
25609,75121,1,Star Wars,,2016,{?},,,,,,,,No,No,0
24958,75122,1,Star Wars,,2016,{?},,,,,,,,No,No,0
24784,75125,1,Star Wars,MicroFighters,2016,Resistance X-wing Fighter,,,,9.99,,,http://images.brickset.com/sets/images/75125-1.jpg,No,No,0
24785,75126,1,Star Wars,MicroFighters,2016,First Order Snowspeeder,,,,9.99,,,http://images.brickset.com/sets/images/75126-1.jpg,No,No,0
24786,75127,1,Star Wars,MicroFighters,2016,The Ghost,,,,9.99,,,http://images.brickset.com/sets/images/75127-1.jpg,No,No,0
24787,75128,1,Star Wars,MicroFighters,2016,TIE Advanced Prototype,,,,9.99,,,http://images.brickset.com/sets/images/75128-1.jpg,No,No,0
24788,75129,1,Star Wars,MicroFighters,2016,Wookiee Gunship,,,,9.99,,,http://images.brickset.com/sets/images/75129-1.jpg,No,No,0
24789,75130,1,Star Wars,MicroFighters,2016,AT-DP,,,,9.99,,,http://images.brickset.com/sets/images/75130-1.jpg,No,No,0
24790,75131,1,Star Wars,The Force Awakens,2016,Resistance Trooper Battle Pack,,,,,,,http://images.brickset.com/sets/images/75131-1.jpg,No,No,0
24791,75132,1,Star Wars,The Force Awakens,2016,First Order Battle Pack,,,,,,,http://images.brickset.com/sets/images/75132-1.jpg,No,No,0
24793,75133,1,Star Wars,Legends,2016,Rebel Alliance Battle Pack,,,,,,,http://images.brickset.com/sets/images/75133-1.jpg,No,No,0
24792,75134,1,Star Wars,Legends,2016,Galactic Empire Battle Pack,,,,,,,http://images.brickset.com/sets/images/75134-1.jpg,No,No,0
24794,75135,1,Star Wars,Episode III,2016,Obi-Wan's Jedi Interceptor,,,,,,,http://images.brickset.com/sets/images/75135-1.jpg,No,No,0
24795,75136,1,Star Wars,Episode IV,2016,Droid Escape Pod,,,,,,,http://images.brickset.com/sets/images/75136-1.jpg,No,No,0
24796,75137,1,Star Wars,Episode V,2016,Carbon Freezing Chamber,,,,,,,http://images.brickset.com/sets/images/75137-1.jpg,No,No,0
24797,75138,1,Star Wars,Episode V,2016,Hoth Attack,,,,,,,http://images.brickset.com/sets/images/75138-1.jpg,No,No,0
